idx,price,condition,district,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
113,63000.0,good,Center,10,Zavaryan St,3,Yerevan,92.0,http://www.myrealty.am/en/item/30931/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,4,2.8
114,56000.0,good,Arabkir,7,Komitas Ave,2,Yerevan,73.0,http://www.myrealty.am/en/item/13871/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,3,3.0
116,82000.0,newly repaired,Center,11,Vardanants St,2,Yerevan,78.0,http://www.myrealty.am/en/item/14645/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
117,80000.0,good,Center,5,Charents St,3,Yerevan,58.0,http://www.myrealty.am/en/item/24488/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,3.2
118,75000.0,newly repaired,Qanaqer-Zeytun,5,Davit Anhaxt St,3,Yerevan,77.0,http://www.myrealty.am/en/item/17415/3-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,5,2.8
119,135000.0,newly repaired,Center,16,Tsitsernakaberd Highway,3,Yerevan,100.0,http://www.myrealty.am/en/item/31669/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,7,2.8
120,93000.0,good,Center,4,Mashtots Ave,2,Yerevan,56.0,http://www.myrealty.am/en/item/34606/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.0
211,37000.0,newly repaired,Avan,14,Charents disrtict,3,Yerevan,83.0,http://www.myrealty.am/en/item/31921/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,8,2.8
212,59000.0,newly repaired,Avan,9,Tumanyan district,2,Yerevan,68.0,http://www.myrealty.am/en/item/31915/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,8,2.8
214,95000.0,newly repaired,Arabkir,9,Komitas Ave,3,Yerevan,93.0,http://www.myrealty.am/en/item/24116/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,2,panel,6,2.8
215,58000.0,good,Arabkir,5,Gyulbenkyan St,2,Yerevan,51.0,http://www.myrealty.am/en/item/7156/apartment-for-sale-in-Yerevan,1,stone,5,2.6
216,110000.0,newly repaired,Center,5,Leo St,4,Yerevan,100.0,http://www.myrealty.am/en/item/37245/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,2.8
217,30000.0,zero condition,Arabkir,4,Hambardzumyan St,1,Yerevan,35.0,http://www.myrealty.am/en/item/37229/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
218,140000.0,zero condition,Arabkir,4,Hambardzumyan St,4,Yerevan,140.0,http://www.myrealty.am/en/item/37238/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
220,62000.0,zero condition,Arabkir,4,Hambardzumyan St,2,Yerevan,62.0,http://www.myrealty.am/en/item/37233/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
221,105000.0,zero condition,Arabkir,4,Hambardzumyan St,3,Yerevan,110.0,http://www.myrealty.am/en/item/37230/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
222,40000.0,newly repaired,Nor Norq,5,Moldovakan St,1,Yerevan,50.0,http://www.myrealty.am/en/item/38212/1-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,5,2.8
223,40000.0,zero condition,Arabkir,4,Hambardzumyan St,1,Yerevan,47.0,http://www.myrealty.am/en/item/37228/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
224,35000.0,newly repaired,Nor Norq,5,Totovents St,2,Yerevan,50.0,http://www.myrealty.am/en/item/38213/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,1,2.8
226,49000.0,good,Center,5,Abovyan St,1,Yerevan,40.0,http://www.myrealty.am/en/item/38216/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,2.8
227,35500.0,good,Arabkir,5,Komitas Ave,1,Yerevan,35.0,http://www.myrealty.am/en/item/38215/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,2.8
228,125000.0,newly repaired,Arabkir,12,Hr.Kochar St,4,Yerevan,147.0,http://www.myrealty.am/en/item/38219/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,2,other,4,2.8
229,18500.0,good,Nor Norq,9,Norq 8 p,1,Yerevan,56.0,http://www.myrealty.am/en/item/30005/1-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,6,2.8
230,35000.0,newly repaired,Shengavit,10,Chexov St,2,Yerevan,65.0,http://www.myrealty.am/en/item/38214/2-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,panel,9,2.8
231,105000.0,newly repaired,Arabkir,9,Hambardzumyan St,3,Yerevan,91.0,http://www.myrealty.am/en/item/38218/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,3,other,7,2.8
232,150000.0,newly repaired,Center,11,Amiryan St,2,Yerevan,81.0,http://www.myrealty.am/en/item/33557/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,8,2.8
236,53000.0,good,Davtashen,14,Davtashen 1 district,2,Yerevan,65.0,http://www.myrealty.am/en/item/919/apartment-for-sale-in-Yerevan,1,other,2,2.8
237,45000.0,newly repaired,Nor Norq,5,Bakunts St,3,Yerevan,67.0,http://www.myrealty.am/en/item/1063/apartment-for-sale-in-Yerevan,1,panel,2,2.6
239,50000.0,good,Center,9,M.Khorenatsi St,2,Yerevan,67.0,http://www.myrealty.am/en/item/967/apartment-for-sale-in-Yerevan,1,panel,9,2.8
240,99000.0,newly repaired,Arabkir,13,Komitas Ave,2,Yerevan,70.0,http://www.myrealty.am/en/item/1578/apartment-for-sale-in-Yerevan,1,monolit,13,2.8
241,52000.0,good,Avan,9,Duryan disrtict,4,Yerevan,90.0,http://www.myrealty.am/en/item/3467/apartment-for-sale-in-Yerevan,1,panel,7,2.8
242,40000.0,newly repaired,Achapnyak,16,Norashen district,4,Yerevan,96.0,http://www.myrealty.am/en/item/2038/apartment-for-sale-in-Yerevan,1,panel,14,2.8
243,30000.0,good,Center,9,Tsovakal Isakov Ave,1,Yerevan,51.0,http://www.myrealty.am/en/item/2373/apartment-for-sale-in-Yerevan,2,panel,7,2.8
244,70000.0,newly repaired,Shengavit,9,Frunze St,4,Yerevan,76.0,http://www.myrealty.am/en/item/2814/apartment-for-sale-in-Yerevan,1,panel,1,2.8
245,25000.0,newly repaired,Nor Norq,5,Moldovakan St,1,Yerevan,33.0,http://www.myrealty.am/en/item/1053/apartment-for-sale-in-Yerevan,1,panel,2,2.8
246,42000.0,newly repaired,Erebuni,9,Azatamartikner St,2,Yerevan,65.0,http://www.myrealty.am/en/item/1183/apartment-for-sale-in-Yerevan,1,panel,8,2.8
248,66000.0,newly repaired,Davtashen,9,Davtashen 2 district,3,Yerevan,73.0,http://www.myrealty.am/en/item/7064/apartment-for-sale-in-Yerevan,1,panel,6,2.8
249,24000.0,good,Shengavit,9,Garegin Nzhdeh Ave,1,Yerevan,45.0,http://www.myrealty.am/en/item/22403/1-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,panel,4,2.8
250,19000.0,good,Nor Norq,9,Minsk St,1,Yerevan,54.0,http://www.myrealty.am/en/item/28235/1-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,6,2.8
251,22000.0,good,Erebuni,5,Rostovyan St,1,Yerevan,35.0,http://www.myrealty.am/en/item/16317/1-senyakanoc-bnakaran-vacharq-Yerevan-Erebuni,1,stone,3,2.8
252,27000.0,good,Achapnyak,16,16 District 1 chain,2,Yerevan,63.0,http://www.myrealty.am/en/item/33737/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,9,2.8
254,26000.0,good,Malatia-Sebastia,9,Z.Andranik St,1,Yerevan,54.0,http://www.myrealty.am/en/item/23320/1-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,1,2.8
255,103000.0,good,Center,10,Vardanants St,2,Yerevan,75.0,http://www.myrealty.am/en/item/12254/apartment-for-sale-in-Yerevan,1,stone,5,2.8
256,26000.0,zero condition,Malatia-Sebastia,9,A. Babajanyan St,1,Yerevan,46.0,http://www.myrealty.am/en/item/22574/1-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,3,2.8
257,33000.0,good,Center,5,Tigran Mets Ave,1,Yerevan,34.0,http://www.myrealty.am/en/item/9544/apartment-for-sale-in-Yerevan,1,stone,3,2.8
259,27600.0,zero condition,Malatia-Sebastia,9,Z.Andranik St,1,Yerevan,46.0,http://www.myrealty.am/en/item/22976/1-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,4,2.8
260,28500.0,good,Malatia-Sebastia,9,Isakov Ave (Mal.-Seb.),1,Yerevan,46.0,http://www.myrealty.am/en/item/28575/1-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,5,2.8
261,30000.0,zero condition,Arabkir,9,Adonts St,1,Yerevan,40.0,http://www.myrealty.am/en/item/26443/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,3.0
263,28000.0,newly repaired,Achapnyak,16,16 District,2,Yerevan,62.0,http://www.myrealty.am/en/item/35869/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,11,2.8
264,28000.0,newly repaired,Nor Norq,5,Gyuliqevxyan St,2,Yerevan,51.0,http://www.myrealty.am/en/item/2282/apartment-for-sale-in-Yerevan,1,stone,4,2.8
265,28500.0,zero condition,Achapnyak,11,Janibekyan St,1,Yerevan,38.0,http://www.myrealty.am/en/item/24743/1-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,4,2.8
266,28500.0,good,Malatia-Sebastia,9,Z.Andranik St,1,Yerevan,46.0,http://www.myrealty.am/en/item/17054/1-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,5,2.8
267,28500.0,good,Malatia-Sebastia,9,Raffi St,1,Yerevan,45.0,http://www.myrealty.am/en/item/22075/1-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,4,2.8
268,28500.0,newly repaired,Qanaqer-Zeytun,5,Sevak St,1,Yerevan,32.0,http://www.myrealty.am/en/item/37968/1-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,3,2.8
269,28500.0,good,Shengavit,5,Nizami St,1,Yerevan,48.0,http://www.myrealty.am/en/item/35472/1-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,2,2.8
270,29000.0,newly repaired,Avan,9,Isahakyan district,1,Yerevan,54.0,http://www.myrealty.am/en/item/35644/1-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,other,5,2.8
271,29000.0,newly repaired,Avan,9,Isahakyan district,1,Yerevan,54.0,http://www.myrealty.am/en/item/35643/1-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,5,2.8
272,30000.0,good,Avan,9,Avan-Arinj 1 micro,1,Yerevan,47.0,http://www.myrealty.am/en/item/27232/1-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,5,2.8
273,29000.0,good,Achapnyak,4,Halabyan St,2,Yerevan,55.0,http://www.myrealty.am/en/item/35882/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,stone,4,2.8
274,29000.0,good,Nor Norq,5,Totovents St,3,Yerevan,65.0,http://www.myrealty.am/en/item/35576/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,other,5,2.8
275,29000.0,newly repaired,Davtashen,11,Davtashen 4 district,2,Yerevan,63.0,http://www.myrealty.am/en/item/32535/2-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,monolit,6,2.8
276,32000.0,good,Nor Norq,16,Galshoyan St,3,Yerevan,71.0,http://www.myrealty.am/en/item/34416/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,6,2.8
277,29000.0,newly repaired,Shengavit,5,Artashisyan St,1,Yerevan,30.0,http://www.myrealty.am/en/item/32652/1-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,2,2.8
278,29500.0,good,Nor Norq,5,Baxyan 1 alley,2,Yerevan,60.0,http://www.myrealty.am/en/item/36928/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,5,2.8
279,29000.0,good,Shengavit,5,Mantashyan St.,2,Yerevan,60.0,http://www.myrealty.am/en/item/30994/2-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,5,2.8
280,29000.0,newly repaired,Achapnyak,12,Shinararner St,1,Yerevan,35.0,http://www.myrealty.am/en/item/30830/1-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,2,2.8
281,29000.0,good,Qanaqer-Zeytun,4,M. Avetisyan St,2,Yerevan,56.0,http://www.myrealty.am/en/item/35046/2-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,panel,1,2.8
282,29000.0,good,Nor Norq,2,Jrvej district,3,Yerevan,60.0,http://www.myrealty.am/en/item/31420/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,1,3.0
283,31000.0,good,Qanaqer-Zeytun,5,Droi St,1,Yerevan,41.0,http://www.myrealty.am/en/item/21877/1-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,3,2.8
284,31000.0,zero condition,Avan,9,Duryan disrtict,2,Yerevan,48.0,http://www.myrealty.am/en/item/18101/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,1,2.8
285,31000.0,good,Nor Norq,5,Juxai St,2,Yerevan,52.0,http://www.myrealty.am/en/item/17852/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,2,2.8
286,31000.0,newly repaired,Achapnyak,12,Sisakyan St,1,Yerevan,42.0,http://www.myrealty.am/en/item/16254/1-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,9,2.8
287,31500.0,good,Center,10,M.Khorenatsi St,1,Yerevan,40.0,http://www.myrealty.am/en/item/29523/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,10,2.8
288,31500.0,good,Avan,9,Duryan disrtict,2,Yerevan,48.0,http://www.myrealty.am/en/item/30314/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,4,2.8
